ID,Name,NameKR,MinLevel,MaxLevel,BossID,Desc
1000,태초의성소,아사달,1,100,0,튜토리얼 및 게임 시작 지점. 성스러운 분위기의 평원
1001,Zone_1001,강화도 참성단,101,200,0,제사 및 전직을 위한 장소. 높은 고도의 산악 지형
1002,Zone_1002,고구려 졸본성,201,300,0,초기 방어 기지. 수직적 구조가 강조된 산성
1003,Zone_1003,국내성 평원,301,400,0,대규모 필드 전투 및 기마병 질주에 최적화된 평지
1004,Zone_1004,백제 부여 부소산성,401,500,0,강변을 끼고 있는 아름답지만 비극적인 공성전 맵
1005,Zone_1005,공주 무령왕릉 내부,501,600,0,던전형 맵. 미로 같은 구조와 고대 함정 존재
1006,Zone_1006,신라 경주 월성,601,700,0,정치적 중심지이자 평화로운 마을(Hub)형 맵
1007,Zone_1007,황룡사 9층 목탑,701,800,0,보스전 맵. 층별로 강력한 수호자들이 배치된 탑
1008,Zone_1008,가야 철기 제련소,801,900,0,제작 및 강화 특화 구역. 산업적인 느낌의 지형
1009,Entrance,동해 용궁,901,1000,0,수중 탐험의 입구. 산소 게이지 관리가 필요한 구역
1010,Zone_1010,지리산 은둔자의 계곡,1001,1100,0,도사들이 수련하는 비밀스러운 은신처 및 퀘스트 거점
1011,Zone_1011,조선 한양 육조거리,1101,1200,0,대규모 상점가와 NPC들이 밀집한 메인 수도 맵
1012,Zone_1012,경복궁 근정전,1201,1300,0,국왕 NPC와의 만남 및 대규모 이벤트 전용 공간
1013,비원,창덕궁 후원,1301,1400,0,은신술 수련이나 비밀 회담을 위한 정원 지형
1014,Zone_1014,남한산성 옹성,1401,1500,0,농성전 및 방어전 특화 맵. 겨울 기후 고정
1015,Zone_1015,수원 화성 방화수류정,1501,1600,0,아름다운 풍경 뒤에 매복이 숨어있는 전략적 지형
1016,Zone_1016,독도 수호 암초,1601,1700,0,해상 전투와 자원 채집(수산물)이 이루어지는 고립 지형
1017,Zone_1017,한라산 백록담,1701,1800,0,전설 등급 영물을 포획하거나 신성한 물을 얻는 장소
1018,Zone_1018,제주도 만장굴,1801,1900,0,미로형 던전. 지형이 좁고 천장이 높은 지하 공간
1019,Zone_1019,안동 하회마을,1901,2000,0,전통 민속 행사 및 서브 퀘스트가 많은 휴양형 마을
1020,망령의비무장지대,DMZ,2001,2100,0,이질적인 시공간이 뒤섞인 고난도 언데드 필드
1021,저승입구,명계,2101,2200,0,죽은 캐릭터가 부활하거나 영혼 상태로 탐험하는 맵
1022,Zone_1022,염라대왕의 심판소,2201,2300,0,최종 보스전 혹은 업보 시스템 정산 전용 맵
1023,Zone_1023,해인사 장경판전,2301,2400,0,지식 습득 및 스킬 해금에 특화된 도서관형 맵
1024,Zone_1024,벽란도 국제무역항,2401,2500,0,해외 아이템 거래 및 이국적 캐릭터들이 모이는 항구
1025,Zone_1025,평양 모란봉,2501,2600,0,전망이 좋아 정찰이나 원거리 사격 대결에 적합한 지형
1026,Zone_1026,울릉도 성인봉,2601,2700,0,희귀 약초와 요괴들이 서식하는 미개척 정글 지형
1027,Zone_1027,남해 금산 보리암,2701,2800,0,정신력 회복 속도가 빨라지는 신성 보너스 구역
1028,Zone_1028,단양 도담삼봉,2801,2900,0,수중 몬스터와 보트 전투가 중심이 되는 지형
1029,선바위,서울 인왕산,2901,3000,0,무당 NPC들과 저주 관련 퀘스트가 집중된 영험한 지형
1030,언덕,가야 고분군,3001,3100,0,무덤 위에서 벌어지는 기묘한 필드 전투 구역
1031,내부,거북선 격군실,3101,3200,0,함선 내부 방어전 및 엔진(태엽) 관리를 위한 맵
1032,가상,신라 첨성대 내부,3201,3300,0,별자리 마법 수련 및 기상 조작 장치가 있는 공간
1033,뒷골목,조선 저잣거리,3301,3400,0,자객들과 정보 상인들이 암약하는 위험 지대
1034,Zone_1034,삼국 통일의 전쟁터,3401,3500,0,끊임없이 망령들이 솟아나는 무한 디펜스 맵
1035,고개마루,성황당,3501,3600,0,지역 간 이동 시 저장(Save) 포인트 및 축복 제공
1036,이계,도깨비 마을,3601,3700,0,도깨비들과 내기를 하거나 보물을 얻는 기괴한 공간
1037,얼어붙은호수,백두산 천지,3701,3800,0,빙결 속성 몬스터와 대형 드래곤(용) 보스전 맵
1038,신비,진도 바닷길,3801,3900,0,특정 시간에만 열리는 기간 한정 비밀 이동 경로
1039,Zone_1039,고려 석조 미륵보살 입상,3901,4000,0,거대 동상 자체가 기믹이 되어 움직이는 보스전 지형
1040,飛車정류소,비거,4001,4100,0,공중 이동 수단을 타기 위한 고공 플랫폼 지형
1041,귀양지,무인도,4101,4200,0,서바이벌 모드 및 채집에 특화된 고립형 맵
1042,가상,용인의 민속촌,4201,4300,0,다양한 한국 민속 게임을 즐길 수 있는 미니게임 허브
1043,지하,강원도 탄광,4301,4400,0,광석 채굴 및 지하 괴물 소탕을 위한 복잡한 동굴
1044,늪지,낙동강 삼각주,4401,4500,0,이동 속도가 느려지며 매복 공격이 빈번한 지형
1045,성벽,서울 도성길,4501,4600,0,한양 전체를 둘러싸며 도시 방어 임무를 수행하는 맵
1046,Zone_1046,불국사 다보탑 광장,4601,4700,0,신성 속성 아군의 마나 회복을 돕는 정화 구역
1047,전옥서,조선식 감옥,4701,4800,0,탈출 퀘스트 및 죄수 NPC 구출 임무용 맵
1048,낙원,율도국,4801,4900,0,홍길동이 세운 이상국가. 최종 보상 및 엔딩 장소
1049,Zone_1049,아카이비스트의 무한 서고,4901,5000,0,지금까지의 모든 에셋 기록을 확인하는 메타 공간
1050,명칭,이름,5001,5100,0,비고(용도/특징)
1051,Zone_1051,대관령 설원 고개,5101,5200,0,겨울 기후. 이동 속도가 저하되며 저체온증 디버프 발생
1052,Zone_1052,소양강 안개 나루,5201,5300,0,시야가 극도로 제한됨. 소리에 의존해 이동해야 하는 맵
1053,Zone_1053,구미호의 천년 대나무 숲,5301,5400,0,"은신한 적이 많으며, 환각으로 인해 길을 잃기 쉬운 미로"
1054,Zone_1054,창귀의 얼어붙은 폭포,5401,5500,0,미끄러운 지형. 낙사 위험이 높고 빙결 속성 적 출현
1055,Zone_1055,두억시니의 진흙 수렁,5501,5600,0,이동 속도가 80% 감소. 늪 속에서 괴수의 기습 존재
1056,Zone_1056,버려진 성황당 고개,5601,5700,0,저주받은 장소. 밤이 되면 영체 몬스터들이 무한 스폰
1057,Zone_1057,망나니의 피 묻은 처형장,5701,5800,0,물리 공격력이 상승하지만 광기에 빠질 수 있는 전장
1058,Zone_1058,어둑시니의 끝없는 우물,5801,5900,0,지하 던전. 횃불 없이는 진행 불가한 공포 테마 구역
1059,Zone_1059,가야의 무쇠 산맥,5901,6000,0,금속 자원이 풍부하며 장비 내구도가 빨리 소모되는 지역
1060,내부,고구려 벽화 고분,6001,6100,0,퍼즐형 던전. 벽화의 그림이 실체화되어 공격함
1061,Zone_1061,백제 궁남지 연못,6101,6200,0,수중 전투와 지상 점프 액션이 결합된 아름다운 맵
1062,Zone_1062,발해의 북방 동토,6201,6300,0,최북단 지역. 강력한 북방 요괴들이 서식하는 고난도 필드
